model,gpu,sms,mode,routing,seed,iters,E,N,NP,I,H,TOPK,live_experts,assignments,active_n8,active_n16,paired_n16,max_tokens_per_expert,max_active_n8_per_expert,max_active_n16_per_expert,max_paired_n16_per_expert,end_to_end_ms,useful_tflops,route_errors,scale_errors,nonfinite,padded_nonzero,useful_nonzero,f1_blocks_per_sm,f2_blocks_per_sm,checksum,validation_scope,status
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x8cdc2045,20,32,256,256,2880,2880,4,32,1024,141,80,47,86,11,6,3,1.906432,26.730978,0,0,0,0,737280,1,1,0xf67b3fa9bb3a73c3,route_scale_finite,PASS
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0xef04d9bc,20,32,512,512,2880,2880,4,32,2048,270,146,82,76,10,5,3,1.931808,52.759688,0,0,0,0,1474560,1,1,0x78214d2b2accf2f3,route_scale_finite,PASS
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0x494d5ff3,20,32,512,512,2880,2880,4,32,2048,270,142,77,411,52,26,13,7.301824,13.958373,0,0,0,0,1474560,1,1,0x5d7548cd2388c6e3,route_scale_finite,PASS
gpt_oss_20b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0xab75d52a,20,32,512,512,2880,2880,4,32,2048,267,140,79,203,26,13,7,4.115264,24.766719,0,0,0,0,1474560,1,1,0xbed549115f6cc873,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x35ba4b61,20,128,8,32,704,2816,8,54,64,54,54,54,3,1,1,1,0.175904,4.327736,0,0,0,0,22528,1,1,0xc537660641d5cbf3,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0x97e2c0d8,20,128,8,32,704,2816,8,39,64,39,39,39,8,1,1,1,0.159712,4.766493,0,0,0,0,22528,1,1,0x9d43c07f136080b3,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0xf62b461f,20,128,8,32,704,2816,8,36,64,36,36,36,5,1,1,1,0.157568,4.831350,0,0,0,0,22528,1,1,0xa6ebc3dad2b43863,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x5053fc56,20,128,256,256,704,2816,8,128,2048,313,186,128,24,3,2,1,0.326080,74.707182,0,0,0,0,720896,1,1,0xf546fba2ed5a0a03,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0xb298758d,20,128,256,256,704,2816,8,126,2048,316,202,155,238,30,15,8,1.259328,19.344061,0,0,0,0,720896,1,1,0xa374bb95915f73e3,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x1cc0ebc4,20,128,256,256,704,2816,8,128,2048,312,187,138,116,15,8,4,0.739072,32.960952,0,0,0,0,720896,1,1,0xeb9469afd75b6583,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,uniform,0x7f09613b,20,128,512,512,704,2816,8,128,4096,570,310,183,46,6,3,2,0.501696,97.112666,0,0,0,0,1441776,1,1,0x1b54dc7a03ba51d3,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,zipf,0xd931e772,20,128,512,512,704,2816,8,128,4096,566,317,204,464,58,29,15,2.315072,21.045148,0,0,0,0,1441792,1,1,0x7a9a259ee93f84c3,route_scale_finite,PASS
gemma4_26b_a4b,NVIDIA RTX PRO 6000 Blackwell Server Edition,188,contiguous_direct_ff1_ff2_cp_reduce_w4a4,burst,0x3b669ca9,20,128,512,512,704,2816,8,128,4096,564,317,191,241,31,16,8,1.379072,35.328857,0,0,0,0,1441792,1,1,0xf79657afbcf66123,route_scale_finite,PASS
