N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,382,383,1,14,10.051200,10.026320,10.076752,no_pf_tma_smem,10.432096,1.037896,3.6512,no_pf_tma_smem,1.037896,3.6512
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf128x2_current_lead1_tma_smem,3,382,383,1,14,10.021552,9.996000,10.052528,no_pf_tma_smem,10.432096,1.040966,3.9354,no_pf_tma_smem,1.040966,3.9354
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,382,383,1,14,9.953856,9.952880,9.977424,no_pf_tma_smem,10.432096,1.048046,4.5843,no_pf_tma_smem,1.048046,4.5843
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,382,383,1,14,10.110656,10.091472,10.139153,no_pf_tma_smem,10.432096,1.031792,3.0813,no_pf_tma_smem,1.031792,3.0813
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,382,383,1,14,9.941856,9.934448,9.981456,no_pf_tma_smem,10.432096,1.048411,4.6176,no_pf_tma_smem,1.048411,4.6176
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf64x4_current_lead1_tma_smem,3,382,383,1,14,10.362783,10.354879,10.387920,no_pf_tma_smem,10.432096,1.004253,0.4235,no_pf_tma_smem,1.004253,0.4235
256,384,512,actcomp,actcomp_packed_smem_producer,tma,pf64x4_current_wait0_lead1_async_tma_smem,3,382,383,1,14,10.029327,10.010752,10.037952,no_pf_tma_smem,10.432096,1.040159,3.8609,no_pf_tma_smem,1.040159,3.8609
256,384,512,actcomp,actcomp_warp_diagnostic,warp_direct,no_pf_direct,3,382,383,1,14,21.450226,20.697744,22.341663,not_comparable,,,,no_pf_direct,1.000000,0.0000
256,384,512,actcomp,actcomp_warp_diagnostic,warp_direct,pf128_current_direct,3,382,383,1,14,20.372047,19.707376,21.221889,not_comparable,,,,no_pf_direct,1.052765,5.0120
256,384,512,actcomp,actcomp_warp_diagnostic,warp_direct,pf128x2_current_lead1_direct,3,382,383,1,14,20.429329,19.730049,21.291248,not_comparable,,,,no_pf_direct,1.049336,4.7016
256,384,512,actcomp,actcomp_warp_diagnostic,warp_direct,pf32x4_current_direct,3,382,383,1,14,20.362720,19.664959,21.211424,not_comparable,,,,no_pf_direct,1.053284,5.0589
256,384,512,actcomp,actcomp_warp_diagnostic,warp_direct,pf32x4_current_wait0_direct,3,382,383,1,14,20.382881,19.704609,21.230145,not_comparable,,,,no_pf_direct,1.052356,4.9751
256,384,512,actcomp,actcomp_warp_diagnostic,warp_direct,pf64x2_current_direct,3,382,383,1,14,20.366848,19.679632,21.211248,not_comparable,,,,no_pf_direct,1.053193,5.0507
256,384,512,actcomp,actcomp_warp_diagnostic,warp_direct,pf64x4_current_lead1_direct,3,382,383,1,14,20.499008,19.789825,21.359104,not_comparable,,,,no_pf_direct,1.046002,4.3979
256,384,512,actcomp,actcomp_warp_diagnostic,warp_direct,pf64x4_current_wait0_lead1_async_direct,3,382,383,1,14,20.537968,19.844097,21.393711,not_comparable,,,,no_pf_direct,1.044310,4.2430
256,384,512,pure,warp_consumer,tma,no_pf_tma_smem,3,382,383,1,14,11.295521,11.235488,11.340401,no_pf_tma_smem,11.295521,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,384,512,pure,warp_consumer,tma,pf128_current_tma_smem,3,382,383,1,14,11.269793,11.192752,11.318352,no_pf_tma_smem,11.295521,1.002283,0.2278,no_pf_tma_smem,1.002283,0.2278
256,384,512,pure,warp_consumer,tma,pf128x2_current_lead1_tma_smem,3,382,383,1,14,11.174512,11.084801,11.238992,no_pf_tma_smem,11.295521,1.010829,1.0713,no_pf_tma_smem,1.010829,1.0713
256,384,512,pure,warp_consumer,tma,pf32x4_current_tma_smem,3,382,383,1,14,11.197456,11.114144,11.252544,no_pf_tma_smem,11.295521,1.008758,0.8682,no_pf_tma_smem,1.008758,0.8682
256,384,512,pure,warp_consumer,tma,pf32x4_current_wait0_tma_smem,3,382,383,1,14,10.913168,10.782703,10.941072,no_pf_tma_smem,11.295521,1.036498,3.5213,no_pf_tma_smem,1.036498,3.5213
256,384,512,pure,warp_consumer,tma,pf64x2_current_tma_smem,3,382,383,1,14,11.245216,11.180144,11.299408,no_pf_tma_smem,11.295521,1.004473,0.4454,no_pf_tma_smem,1.004473,0.4454
256,384,512,pure,warp_consumer,tma,pf64x4_current_lead1_tma_smem,3,382,383,1,14,11.217632,11.100832,11.231552,no_pf_tma_smem,11.295521,1.009691,0.9598,no_pf_tma_smem,1.009691,0.9598
256,384,512,pure,warp_consumer,tma,pf64x4_current_wait0_lead1_async_tma_smem,3,382,383,1,14,10.751552,10.602160,10.756592,no_pf_tma_smem,11.295521,1.054769,5.1925,no_pf_tma_smem,1.054769,5.1925
256,384,512,pure,warp_consumer,warp_direct,no_pf_direct,3,382,383,1,14,10.715744,10.654655,10.923584,no_pf_tma_smem,11.295521,1.048503,4.6259,no_pf_direct,1.000000,0.0000
256,384,512,pure,warp_consumer,warp_direct,pf128_current_direct,3,382,383,1,14,10.536592,10.450544,10.574448,no_pf_tma_smem,11.295521,1.072434,6.7542,no_pf_direct,1.025377,2.4749
256,384,512,pure,warp_consumer,warp_direct,pf128x2_current_lead1_direct,3,382,383,1,14,10.453472,10.353408,10.478208,no_pf_tma_smem,11.295521,1.084845,7.8210,no_pf_direct,1.034997,3.3813
256,384,512,pure,warp_consumer,warp_direct,pf32x4_current_direct,3,382,383,1,14,10.481680,10.367648,10.510897,no_pf_tma_smem,11.295521,1.078918,7.3146,no_pf_direct,1.033575,3.2485
256,384,512,pure,warp_consumer,warp_direct,pf32x4_current_wait0_direct,3,382,383,1,14,10.492336,10.365056,10.513696,no_pf_tma_smem,11.295521,1.078631,7.2899,no_pf_direct,1.033834,3.2726
256,384,512,pure,warp_consumer,warp_direct,pf64x2_current_direct,3,382,383,1,14,10.516144,10.406448,10.542928,no_pf_tma_smem,11.295521,1.075641,7.0321,no_pf_direct,1.029722,2.8864
256,384,512,pure,warp_consumer,warp_direct,pf64x4_current_lead1_direct,3,382,383,1,14,10.441343,10.313520,10.441360,no_pf_tma_smem,11.295521,1.086106,7.9279,no_pf_direct,1.039000,3.7536
256,384,512,pure,warp_consumer,warp_direct,pf64x4_current_wait0_lead1_async_direct,3,382,383,1,14,10.443439,10.318336,10.443760,no_pf_tma_smem,11.295521,1.085854,7.9066,no_pf_direct,1.038515,3.7086
256,384,512,wdequant,warp_consumer,tma,no_pf_tma_smem,3,382,383,1,14,31.636864,30.205200,32.433762,no_pf_tma_smem,31.636864,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,384,512,wdequant,warp_consumer,tma,pf128_current_tma_smem,3,382,383,1,14,31.856096,30.483585,32.724258,no_pf_tma_smem,31.636864,0.991123,-0.8957,no_pf_tma_smem,0.991123,-0.8957
256,384,512,wdequant,warp_consumer,tma,pf128x2_current_lead1_tma_smem,3,382,383,1,14,32.105583,30.718544,32.959923,no_pf_tma_smem,31.636864,0.984036,-1.6223,no_pf_tma_smem,0.984036,-1.6223
256,384,512,wdequant,warp_consumer,tma,pf32x4_current_tma_smem,3,382,383,1,14,31.987598,30.613968,32.843456,no_pf_tma_smem,31.636864,0.987526,-1.2632,no_pf_tma_smem,0.987526,-1.2632
256,384,512,wdequant,warp_consumer,tma,pf32x4_current_wait0_tma_smem,3,382,383,1,14,32.161057,30.768513,33.075600,no_pf_tma_smem,31.636864,0.981692,-1.8650,no_pf_tma_smem,0.981692,-1.8650
256,384,512,wdequant,warp_consumer,tma,pf64x2_current_tma_smem,3,382,383,1,14,31.938688,30.569168,32.799809,no_pf_tma_smem,31.636864,0.988840,-1.1286,no_pf_tma_smem,0.988840,-1.1286
