gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.843648,6554280,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,1.290601,41.299244,41.299244,0.000000,0.000000,0.000000,2.569680,659.485786,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.958928,6691601,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,1.240319,39.690221,39.690221,0.000000,0.000000,0.000000,2.469565,633.792150,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,no_pf_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.930288,6756478,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,0,1875378176,1.252442,40.078146,1.252442,0.000000,40.078146,1.252442,0.000000,639.997887,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.993856,6933363,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,3670016,1879048192,1.225849,39.227175,1.225849,0.000000,39.227175,1.225849,1.225849,627.634803,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,3.017328,6954042,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,3670016,1879048192,1.216313,38.922023,1.216313,0.000000,38.922023,1.216313,1.216313,622.752375,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,3.010016,6976800,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,7307264,1882685440,1.219268,39.016574,1.219268,0.000000,39.016574,1.219268,2.427650,625.473573,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,3.037888,7040534,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,7307264,1882685440,1.208081,38.658604,1.208081,0.000000,38.658604,1.208081,2.405376,619.734964,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,3.212464,7267675,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,7307264,1882685440,1.142430,36.557769,1.142430,0.000000,36.557769,1.142430,2.274660,586.056536,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf32x4_current_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.831952,6533113,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,1.295932,41.469809,41.469809,0.000000,0.000000,0.000000,1.295932,660.925078,0x3ae9471344d8ca50
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf32x4_current_wait0_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.928128,6619772,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,1.253366,40.107711,40.107711,0.000000,0.000000,0.000000,1.253366,639.216645,0x3ae9471344d8ca50
