gpu,sms,path,method,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,3.950240,6906467,3758096384,469762048,58720256,1879048192,1879048192,116916224,14.864985,475.679513,475.679513,29.597247,1085.143890,1545.958419,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,3.969712,6859213,3758096384,469762048,58720256,1879048192,1879048192,116916224,14.792070,473.346252,473.346252,29.452069,1079.821137,1538.375318,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,3.971392,6892728,3758096384,469762048,58720256,1879048192,1879048192,116916224,14.785812,473.145998,473.145998,29.439609,1079.364308,1537.724494,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.034224,6935162,3758096384,469762048,58720256,1879048192,58720256,0,14.555529,465.776912,14.555529,0.000000,1062.553581,1513.774965,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.044512,6940125,3758096384,469762048,58720256,1879048192,58720256,58720256,14.518503,464.592091,14.518503,14.518503,1059.850708,1509.924296,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.048336,6925475,3758096384,469762048,58720256,1879048192,58720256,58720256,14.504788,464.153217,14.504788,14.504788,1058.849527,1508.497956,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.029056,6865558,3758096384,469762048,58720256,1879048192,58720256,116916224,14.574197,466.374297,14.574197,29.018267,1063.916364,1515.716464,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.028544,6887319,3758096384,469762048,58720256,1879048192,58720256,116916224,14.576049,466.433584,14.576049,29.021956,1064.051613,1515.909148,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,4.036400,6895804,3758096384,469762048,58720256,1879048192,58720256,116916224,14.547681,465.525782,14.547681,28.965471,1061.980690,1512.958791,0x3109a210d8c7dbdf
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.318112,6048437,3758096384,469762048,58720256,1879048192,1879048192,0,17.696888,566.300429,566.300429,0.000000,1291.872855,1840.476396,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.065824,6191969,3758096384,469762048,58720256,1879048192,1879048192,58720256,19.153172,612.901514,612.901514,19.153172,1398.181580,1991.929922,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.061232,6189347,3758096384,469762048,58720256,1879048192,1879048192,58720256,19.181903,613.820885,613.820885,19.181903,1400.278895,1994.917878,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.065456,6178184,3758096384,469762048,58720256,1879048192,1879048192,116916224,19.155472,612.975115,612.975115,38.139914,1398.349482,1992.169125,0xd10ad7613ee0711d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0xbb67ae85,20,512,384,128,2048,7168,8,128,128,1024,2,20,3.071360,6184178,3758096384,469762048,58720256,1879048192,1879048192,116916224,19.118649,611.796769,611.796769,38.066596,1395.661379,1988.339499,0xd10ad7613ee0711d
