gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.954032,4486743,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.878176,1.878176,1.878176,0.528237,0.528237,0.528237,1.878176,900.702802,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.962176,4521544,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.870381,1.870381,1.870381,0.526045,0.526045,0.526045,1.870381,896.964431,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,2.050704,4768681,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.789637,1.789637,1.789637,0.503335,0.503335,0.503335,1.789637,858.242850,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,2.035184,4718411,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,0,1730641920,1.803285,1.803285,1.803285,0.507174,2.310459,2.310459,0.000000,850.361441,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,2.073648,4785939,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.769836,1.769836,1.769836,0.497766,2.267602,2.267602,1.769836,836.357934,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,2x64B_current,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,2.048432,4737243,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.791622,1.791622,1.791622,0.503894,2.295516,2.295516,1.791622,846.653461,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,2.038528,4720881,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.800327,1.800327,1.800327,0.506342,2.306668,2.306668,1.800327,850.766811,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,2.115392,4956728,1526726656,190840832,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1734311936,1.734911,1.734911,1.734911,0.487944,2.222854,2.222854,1.734911,819.853701,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,1.888896,4385058,1526726656,190840832,3670016,3670016,3670016,1032192,1032192,1032192,0,1723301888,1.942942,1.942942,1.942942,0.546453,0.546453,0.546453,0.000000,912.332865,0x2cdba7fdae33534b
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0xbb67ae85,20,0,384,8,2048,7168,8,128,52,64,1,3,1.902032,4393740,1526726656,190840832,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1726971904,1.929524,1.929524,1.929524,0.542679,0.542679,0.542679,1.929524,907.961589,0x2cdba7fdae33534b
