gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,0,30064771072,3758096384,134217728,234881024,22.453247,10.711955,171.391277,10.460893,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,14680064,30064771072,3758096384,134217728,234881024,22.468609,10.704631,171.274097,10.453741,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,0,30064771072,3758096384,134217728,234881024,22.454241,10.711481,171.383692,10.460430,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,14680064,30064771072,3758096384,134217728,234881024,22.456320,10.710489,171.367826,10.459462,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,0,30064771072,3758096384,134217728,234881024,22.468576,10.704647,171.274344,10.453756,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,14680064,30064771072,3758096384,134217728,234881024,22.493183,10.692936,171.086977,10.442320,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,0,31943819264,3992977408,134217728,234881024,25.919456,9.279445,148.471119,9.061958,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,14680064,31943819264,3992977408,134217728,234881024,25.910273,9.282734,148.523744,9.065170,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,0,31943819264,3992977408,134217728,234881024,25.889791,9.290077,148.641239,9.072341,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,14680064,31943819264,3992977408,134217728,234881024,25.864161,9.299284,148.788540,9.081332,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,0,31943819264,3992977408,134217728,234881024,25.925632,9.277234,148.435750,9.059799,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,14680064,31943819264,3992977408,134217728,234881024,25.915873,9.280728,148.491651,9.063211,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
