N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
256,384,0,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,382,383,1,14,10.380272,10.373568,10.477280,no_pf_tma_smem,10.380272,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,384,0,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,382,383,1,14,10.012560,10.008416,10.048609,no_pf_tma_smem,10.380272,1.036725,3.5424,no_pf_tma_smem,1.036725,3.5424
256,384,0,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,382,383,1,14,9.933104,9.916416,10.009439,no_pf_tma_smem,10.380272,1.046101,4.4069,no_pf_tma_smem,1.046101,4.4069
256,384,0,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,382,383,1,14,10.083968,10.059632,10.124928,no_pf_tma_smem,10.380272,1.031208,3.0263,no_pf_tma_smem,1.031208,3.0263
256,384,0,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,382,383,1,14,9.925312,9.917920,9.994192,no_pf_tma_smem,10.380272,1.045942,4.3924,no_pf_tma_smem,1.045942,4.3924
256,384,128,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,382,383,1,14,10.319584,10.291568,10.322160,no_pf_tma_smem,10.452991,1.012675,1.2516,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
256,384,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,382,383,1,14,10.164881,10.144176,10.167313,no_pf_tma_smem,10.452991,1.028344,2.7562,no_pf_cta_nc_actcomp_smem,1.014977,1.4756
256,384,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,382,383,1,14,9.748112,9.709760,9.998304,no_pf_tma_smem,10.452991,1.067019,6.2810,no_pf_cta_nc_actcomp_smem,1.058624,5.5377
256,384,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,382,383,1,14,10.158049,10.147088,10.178704,no_pf_tma_smem,10.452991,1.029035,2.8216,no_pf_cta_nc_actcomp_smem,1.014239,1.4039
256,384,128,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,382,383,1,14,10.452991,10.401424,10.509184,no_pf_tma_smem,10.452991,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
